,,,,,,,
,,,,,,,
,,,Lipides,Glucides,Protéines,,Portion par défaut
,,,,,,,
Steak Haché,sh,,5,0,20,,200
Poulet,pou,,"1,3","0,9",21,,200
Dinde tranches,tdd,,"1,6","0,5",21,,160
Poulet tranches,tdp,,2,"0,9",21,,160
Cb dinde,cbd,,10,14,16,,200
Thon,tho,,"2,5",0,25,,140
Soja pané,sp,,12,16,16,,180
Cb poulet,cbp,,15,13,13,,200
,,,,,,,
Oeuf,oeu,,10,"0,5",12,,55
Whey Tibo,wt,,"8,3","11,6","67,6",,25
Whey MP,wmp,,"7,5",6,72,,25
,,,,,,,
Riz,riz,,"0,8",77,"8,7",,90
Pates,pat,,2,"71,2","12,5",,130
Gnocchis,gno,,"3,1",36,"5,2",,160
Quinoa,qui,,"4,1",65,14,,100
Semoule,sem,,"1,8",72,13,,85
Pain de mie,pdm,,"3,8","39,4","8,1",,50
,,,,,,,
Huile,hui,,100,0,0,,10
Amandes,ama,,"52,5","8,76","21,4",,20
Parmesan,par,,30,"0,3",33,,25
,,,,,,,
Haricots verts,hv,,"0,2","2,3","1,8",,110
Flageolets,fla,,"0,6",12,"5,5",,130
Petits pois,pp,,"0,6","8,8","3,4",,130
,,,,,,,
Compote,com,,"0,6",15,"0,2",,90
Jus d’orange,jdo,,0,"8,6","0,8",,200
Bananes,ban,,"0,25","19,7",1,,100
Barre,bar,,"10,9","71,3","5,7",,21
Céréales bjorg,cbj,,10,61,11,,90
Cereales Jordans,cjo,,11,"61,1","9,1",,90
Fruits rouge,fr,,"0,2","6,1","1,3",,30
Flocons d’avoine,fda,,"2,5",63,12,,50
,,,,,,,
Lait,lai,,"1,2","4,8","3,3",,200
Lait Amande,lam,,"1,7","0,2","0,7",,200
Lait Soja,lso,,"2,1",4,"3,7",,200
Lait Avoine,lav,,"1,2","7,2","0,5",,200
Fromage blanc,fb,,3,"4,4","6,9",,100
,,,,,,,
Sauce arrab,sar,,"3,1","5,5","1,4",,133
Sauce bolo,sbo,,4,"7,5","4,2",,133
